date	Day.Of.Week	Page.Loads	Unique.Visits	First.Time.Visits	0	1	2	3	4	Returning.Visits
12/2/2014	3	5795	4274	3700	446.5955423	130.3294279	2.537587447	-6.614801425	-15.17378488	574
12/3/2014	4	5728	4217	3656	454.8461988	114.226253	7.733304325	-31.64386817	7.98647537	561
12/4/2014	5	5293	3830	3295	460.972449	19.18633696	5.217308268	31.81681286	1.126105695	535
12/5/2014	6	3934	2856	2479	464.5350348	-88.88570915	-3.488714987	12.43185829	-5.848931875	377
12/6/2014	7	3071	2165	1855	467.6989563	-129.5794613	-2.873661062	-38.78384559	7.099233527	310
12/7/2014	1	3876	2984	2582	469.9268135	-77.12890562	0.811014691	8.710395194	-6.528932939	402
12/8/2014	2	5878	4375	3829	470.7218094	27.44232756	-1.520882065	35.23185439	7.130269798	546
12/9/2014	3	5712	4187	3635	470.3098213	110.3609686	-1.716019736	-24.94076077	-8.083034747	552
12/10/2014	4	5491	4074	3480	468.230769	114.4156421	5.385679151	-23.28165238	9.862105539	594
12/11/2014	5	5144	3801	3247	462.8211164	38.39233163	9.326954053	37.85494698	-8.812353159	554
12/12/2014	6	3880	2860	2418	454.2127911	-57.4016995	5.912296093	13.46146657	9.767248402	442
12/13/2014	7	2605	1838	1538	442.8066682	-100.5418361	-0.046079163	-41.24566407	-8.263027126	300
12/14/2014	1	3625	2650	2259	429.3427189	-62.50685788	-3.323940076	2.446699019	6.113645482	391
12/15/2014	2	4685	3478	3000	412.7306829	19.57920342	-4.885273193	41.76246217	-0.422882869	478
12/16/2014	3	4891	3338	2861	393.8439407	83.23682527	2.568696144	-10.96211522	-3.564766796	477
12/17/2014	4	4222	3053	2606	372.9330189	84.40300182	14.20089465	-37.79745061	7.03526891	447
12/18/2014	5	3691	2690	2275	350.4763771	28.1112094	12.72206941	22.53571932	-6.912090899	415
12/19/2014	6	2748	1879	1559	326.7665069	-40.26081516	-6.787271959	34.9199936	5.258451802	320
12/20/2014	7	1380	1011	836	302.7822785	-70.54545187	-20.65846068	-32.25850364	-1.251449738	175
12/21/2014	1	1474	1054	876	279.7969839	-45.83278029	-6.717734435	-28.55173094	-3.76689062	178
12/22/2014	2	2452	1715	1394	259.6215779	7.495281613	18.62938438	40.55661931	5.480643034	321
12/23/2014	3	2298	1440	1159	242.0670846	40.35757802	13.67576087	12.4115394	-7.317717664	281
12/24/2014	4	1430	947	772	228.2577756	29.01433522	-18.40547947	-47.7478701	6.159981402	175
12/25/2014	5	1002	667	522	218.9256777	-11.11799994	-32.9494591	-1.266357867	-8.506329444	145
12/26/2014	6	1486	1005	808	213.4252694	-44.68081188	-8.766986565	42.35090281	8.075538098	197
12/27/2014	7	1345	941	781	210.6925647	-44.63613424	23.75284497	-14.31105973	-8.636469121	160
12/28/2014	1	1453	948	765	209.4153358	-11.73104465	23.73819105	-37.03613578	7.644786116	183
12/29/2014	2	2173	1472	1228	210.1614302	31.16216534	-3.785206989	27.8191216	-4.7963555	244
12/30/2014	3	2208	1424	1172	213.8068793	51.81051211	-24.50910493	23.65905005	-3.662093109	252
12/31/2014	4	1381	955	773	219.6630706	29.10149797	-21.5566603	-42.40653964	12.98669571	182
1/1/2015	5	1265	876	715	228.5114289	-22.37736932	0.790692607	-5.578963461	-22.81368125	161
1/2/2015	6	1948	1288	1030	240.5443453	-65.52502467	18.78349373	41.28682459	24.5000376	258
1/3/2015	7	1742	1096	946	253.2526153	-70.29396787	10.18275576	-20.29848488	-19.57569694	150
1/4/2015	1	1896	1409	1186	266.4046072	-25.26695849	-8.341566194	-25.3838891	9.354364585	223
1/5/2015	2	3033	2062	1706	278.4564625	44.25588891	-13.17827908	34.96580154	3.352052391	356
1/6/2015	3	3445	2327	1942	288.961308	93.26872426	0.979518444	5.096865093	-12.36552112	385
1/7/2015	4	3423	2384	1991	297.5995444	85.04302567	15.64491816	-33.81439595	17.28847697	393
1/8/2015	5	3319	2272	1922	304.1045866	18.56568526	12.62682541	17.8351933	-14.26989512	350
1/9/2015	6	2783	1941	1663	308.5127194	-64.38213349	-2.316964703	25.08419746	7.789637381	278
1/10/2015	7	1952	1240	1066	312.1617625	-103.6510039	-8.860797506	-30.36479548	1.986353682	174
1/11/2015	1	2245	1611	1391	315.2941876	-68.98940058	-4.922730734	-9.142587134	-11.99352933	220
1/12/2015	2	3928	2518	2125	318.3914677	17.55432659	-0.267089096	35.16211843	19.39677298	393
1/13/2015	3	3810	2621	2239	321.0705849	93.72584546	1.035578188	-9.894534072	-21.83101561	382
1/14/2015	4	3931	2656	2229	324.0103641	104.3281279	5.631000798	-28.88394188	18.5126437	427
1/15/2015	5	3523	2457	2069	326.2976949	37.35439426	7.176654602	23.34332901	-10.7649346	388
1/16/2015	6	2943	1928	1640	327.894251	-59.74729482	-0.47198028	18.46498415	2.401224555	288
1/17/2015	7	1751	1237	1052	329.2891001	-113.7363561	-9.696707845	-29.78635657	4.872622662	185
1/18/2015	1	2491	1762	1541	330.242589	-83.04428677	-8.252153353	-5.882171615	-9.242123031	221
1/19/2015	2	3766	2665	2271	331.4345177	12.44163912	6.572547558	32.55458968	10.78916021	394
1/20/2015	3	4194	2852	2423	332.7844196	101.0689516	15.16650324	-9.203440646	-10.96566994	429
1/21/2015	4	4038	2916	2482	333.924299	113.8067796	2.102433428	-29.19169283	10.72532015	434
1/22/2015	5	3891	2702	2334	334.8895654	39.74159974	-15.94583783	24.5655278	-9.699446173	368
1/23/2015	6	3111	2181	1897	336.650875	-64.14580401	-10.99813355	19.51553284	8.199688376	284
1/24/2015	7	1946	1414	1239	339.6889787	-119.8896016	10.23427349	-38.26354376	-8.065993213	175
1/25/2015	1	2802	2010	1740	344.0788828	-87.93549887	14.11857045	-5.476079328	6.638871323	270
1/26/2015	2	3892	2841	2466	349.2632965	4.963813593	-7.781481224	43.58693507	-4.457984608	375
1/27/2015	3	4172	3003	2592	356.0080569	90.78134705	-20.2975382	-13.39752811	-0.054930194	411
1/28/2015	4	4464	3280	2862	363.6241804	105.7903684	-3.650015222	-45.39690925	4.186659031	418
1/29/2015	5	4377	3143	2679	371.9945957	40.6354632	18.76960306	33.96632511	-8.321287378	464
1/30/2015	6	3734	2514	2129	379.509734	-55.91592962	11.87248626	35.23285128	11.13789483	385
1/31/2015	7	2262	1657	1443	386.1055887	-107.7981857	-11.29535189	-48.8791791	-9.362934758	214
2/1/2015	1	3050	2122	1825	391.9360174	-72.71615353	-12.98037668	-15.57573507	4.043361798	297
2/2/2015	2	4794	3366	2867	396.9243059	22.22143434	8.222423622	57.30231645	4.24106803	499
2/3/2015	3	4936	3423	2922	400.4464018	101.5177424	16.94668994	-6.434243055	-11.45648043	501
2/4/2015	4	5016	3500	3023	403.5063189	104.4491363	0.917862665	-52.65867087	17.39935915	477
2/5/2015	5	4489	3170	2753	406.3828176	27.63684608	-15.91809493	26.75045176	-20.22855104	417
2/6/2015	6	3505	2468	2075	410.1411799	-70.82421558	-8.662959393	40.39359725	18.18416763	393
2/7/2015	7	2264	1679	1437	413.6324989	-120.0064468	7.284269933	-45.58695958	-13.0008361	242
2/8/2015	1	3314	2435	2100	416.9318549	-81.51549659	10.17161202	-18.30619874	7.131432491	335
2/9/2015	2	5095	3619	3125	420.2658355	19.52840303	0.719615568	54.59366813	-2.084239455	494
2/10/2015	3	5525	3793	3272	423.1591069	108.7755652	-6.817112213	-9.33753858	-1.796520121	521
2/11/2015	4	5074	3689	3190	425.0171959	118.9341978	-3.911555574	-48.76468063	5.836532862	499
2/12/2015	5	4571	3319	2810	426.1582178	42.54624045	5.12619466	36.88956943	-8.691231145	509
2/13/2015	6	3570	2664	2253	426.2619468	-64.65577462	7.428237023	29.74885439	11.39923268	411
2/14/2015	7	2182	1565	1323	426.0085503	-122.0471734	2.087423474	-51.31890474	-12.03830675	242
2/15/2015	1	3265	2277	1935	425.9298937	-87.03441459	-4.043810268	-2.881962792	10.03089766	342
2/16/2015	2	4670	3297	2826	425.9215123	12.14571435	-6.556189759	51.27934927	-5.614333891	471
2/17/2015	3	4764	3452	2957	427.1246438	101.5498098	-2.099033004	-22.50428854	-0.526087385	495
2/18/2015	4	4943	3526	3026	429.9097834	112.756507	2.845834466	-42.20626644	4.414257406	500
2/19/2015	5	4790	3307	2811	434.2580602	34.88267652	0.594281061	39.52445619	-7.332569279	496
2/20/2015	6	3604	2621	2241	439.8478621	-74.87945655	-5.377205223	22.46101626	7.127770132	380
2/21/2015	7	2455	1823	1569	447.0624518	-131.9188983	-4.432127239	-49.77295109	-6.069043747	254
2/22/2015	1	3650	2690	2329	454.5790119	-92.64224603	0.413114093	-3.270978769	2.597211975	361
2/23/2015	2	5463	3975	3433	462.2045615	17.13537702	4.075759589	52.50505303	2.983805241	542
2/24/2015	3	5884	4112	3542	469.119546	117.1690398	3.157745082	-18.18718009	-9.643193703	570
2/25/2015	4	5615	4019	3432	474.5898975	133.1287004	0.557100795	-44.76823796	17.50137443	587
2/26/2015	5	5289	3747	3186	478.7259422	53.85593405	1.849810154	40.9506626	-21.9465375	561
2/27/2015	6	4434	2969	2486	481.3783531	-62.63753299	3.267196269	28.64368931	22.24480542	483
2/28/2015	7	2665	1977	1694	482.2648891	-130.9496621	0.273408568	-53.37611696	-14.31929204	283
3/1/2015	1	3907	2906	2519	483.038694	-98.30467336	-0.558354762	-1.524298992	0.624804474	387
3/2/2015	2	5308	3778	3222	483.1901397	7.692022147	-1.148988859	50.96392895	15.05654201	556
3/3/2015	3	5773	4025	3490	483.4192277	106.6755991	-0.977276373	-21.16164755	-27.06666432	535
3/4/2015	4	5585	4060	3457	484.4203085	124.2310354	0.165502577	-38.82982478	30.27420354	603
3/5/2015	5	4783	3582	3049	485.3097325	45.00249664	-1.761952251	33.85745965	-24.06691207	533
3/6/2015	6	3893	2707	2259	487.0124599	-68.69693568	-0.708591563	24.70181409	10.59569077	448
3/7/2015	7	2917	2048	1723	489.5527865	-130.4758372	1.815716493	-43.75899624	3.74136095	325
3/8/2015	1	3353	2468	2104	491.6540626	-95.7811982	-1.258507043	-9.601248196	-14.55643496	364
3/9/2015	2	5400	3824	3246	494.6642359	12.28755197	-1.787173719	51.62669338	19.4584983	578
3/10/2015	3	5395	3926	3350	497.4415849	110.3173399	-0.483043863	-14.50864434	-19.81580206	576
3/11/2015	4	5229	3859	3263	499.7403474	124.1631914	1.269599532	-47.53493595	18.12808486	596
3/12/2015	5	5371	3784	3204	501.7676054	45.19047628	3.328878556	39.71070459	-15.46328826	580
3/13/2015	6	4185	3045	2559	502.8797353	-66.71076339	1.843409678	30.22953037	13.06027491	486
3/14/2015	7	2724	1988	1675	503.1164025	-125.552941	-0.84561939	-54.23490433	-8.874728928	313
3/15/2015	1	3590	2620	2196	503.2144337	-85.6242786	-0.300323915	-3.548338	2.956723574	424
3/16/2015	2	5367	3771	3192	502.216042	19.50006186	-0.571827873	55.26090628	5.081585819	579
3/17/2015	3	5440	3968	3387	501.484299	110.7312067	1.405700398	-19.1473407	-12.48509828	581
3/18/2015	4	5465	4043	3458	501.0089984	117.0554943	2.050532335	-48.21950205	16.38313424	585
3/19/2015	5	5318	3813	3262	501.1696911	32.37506384	-1.639124955	38.37854	-16.02893304	551
3/20/2015	6	4225	2916	2462	501.9507298	-79.91297805	-6.207309666	31.9571354	10.35491244	454
3/21/2015	7	2687	1975	1667	503.5696189	-133.8407482	-4.064294724	-52.46893626	-1.624174925	308
3/22/2015	1	3791	2786	2388	505.8591998	-87.51537297	3.597160347	-11.8063957	-9.097932222	398
3/23/2015	2	5661	3949	3331	508.6647682	24.73194549	6.455147438	56.74547517	17.80610419	618
3/24/2015	3	5759	4081	3487	510.9058268	117.2009188	-1.260028961	-11.60422077	-22.02079875	594
3/25/2015	4	5599	3983	3378	512.9226405	122.3059689	-6.14546518	-49.17376229	21.5388009	605
3/26/2015	5	5103	3755	3184	514.1795876	36.80539817	-0.597731013	30.64306304	-16.41526455	571
3/27/2015	6	4313	2946	2446	514.2621384	-74.64316386	7.234646749	35.93132253	9.164215082	500
3/28/2015	7	2971	2011	1651	512.6709509	-127.7597871	6.324323968	-40.87054944	0.612973558	360
3/29/2015	1	3662	2693	2285	509.5193131	-80.76590365	0.075415135	-15.71014819	-8.205912823	408
3/30/2015	2	5635	3985	3386	505.557379	32.80358335	-1.170520035	46.07898826	14.05117372	599
3/31/2015	3	5581	3963	3359	501.4753233	126.0745946	1.135854162	-3.735403557	-16.69647508	604
4/1/2015	4	5329	3761	3170	497.9559356	124.3600936	-1.567584841	-42.79625188	15.68682181	591
4/2/2015	5	4553	3214	2710	495.3857754	23.8690092	-7.390502244	19.96243066	-12.22938933	504
4/3/2015	6	3423	2404	1988	495.5049137	-100.2438884	-3.335460527	32.37982903	5.62382925	416
4/4/2015	7	2708	1807	1512	498.4506645	-156.1523797	3.650794287	-39.01534207	-2.796872219	295
4/5/2015	1	3306	2266	1895	503.1988935	-102.8885952	-1.772280451	-19.59997789	1.667399108	371
4/6/2015	2	5203	3692	3133	510.0771447	24.54589451	-9.553470853	51.55498587	-3.334984075	559
4/7/2015	3	5712	4104	3456	519.2310165	135.0756659	-4.170122318	-5.948736056	2.37743618	648
4/8/2015	4	5601	4015	3401	528.7428055	144.0726891	5.663694613	-58.47221026	0.364485994	614
4/9/2015	5	5486	4063	3430	538.9962936	45.79314675	8.857791516	39.71553232	-4.421702577	633
4/10/2015	6	4178	3213	2697	548.7767099	-88.05614649	-0.55837352	44.5874306	7.641555825	516
4/11/2015	7	2878	2153	1835	557.8673555	-156.0434958	-8.321331776	-66.64719007	-6.532912473	318
4/12/2015	1	4169	2903	2447	567.2028388	-103.5923536	-0.866755728	-12.75558548	0.874586318	456
4/13/2015	2	6372	4485	3787	575.6431549	28.03057195	6.7599863	76.22607384	7.382203866	698
4/14/2015	3	6240	4391	3698	583.3444085	139.5347472	3.332632915	-22.30135395	-13.43952502	693
4/15/2015	4	6170	4409	3723	590.4076716	146.8981052	-3.608757278	-67.70597658	15.10419161	686
4/16/2015	5	6071	4275	3586	596.5479145	43.69360357	-2.912486988	54.85291142	-10.37302348	689
4/17/2015	6	4682	3307	2741	601.2639369	-92.5918178	3.891950954	45.63259577	1.409476386	566
4/18/2015	7	3208	2291	1894	604.7384265	-156.9894499	7.332488015	-74.75326638	11.71541791	397
4/19/2015	1	4310	3144	2669	607.31615	-98.46258847	2.603847702	-11.30980267	-23.89386811	475
4/20/2015	2	6435	4694	3929	609.7723793	38.99202453	-5.014499232	80.49084264	31.28671072	765
4/21/2015	3	6299	4455	3769	610.8595564	146.0278176	-9.137468883	-26.81415367	-30.3761731	686
4/22/2015	4	6360	4512	3797	612.4680504	142.1877808	1.664898058	-63.14884303	22.46241046	715
